Datum,Cas,Boti,CPU[%],RAM[%],Net[Mb/s],Stav
2025-05-02,20:05:31,4,96,72,321.0,Funkcni
2025-05-02,20:05:32,4,92,71,274.73,Funkcni
2025-05-02,20:05:32,4,84,71,267.58,Funkcni
2025-05-02,20:05:33,4,71,71,217.41,Funkcni
2025-05-02,20:05:33,4,100,71,359.13,Funkcni
2025-05-02,20:05:34,4,90,71,349.39,Funkcni
2025-05-02,20:05:35,4,81,71,285.4,Funkcni
2025-05-02,20:05:37,4,99,72,949.22,Funkcni
2025-05-02,20:05:37,4,96,71,320.9,Funkcni
2025-05-02,20:05:38,4,96,71,280.78,Funkcni
2025-05-02,20:05:38,4,98,71,304.27,Funkcni
2025-05-02,20:05:39,4,98,71,339.35,Funkcni
2025-05-02,20:05:40,4,91,71,279.16,Funkcni
2025-05-02,20:05:40,4,95,71,322.41,Funkcni
2025-05-02,20:05:41,4,87,71,286.8,Funkcni
2025-05-02,20:05:42,4,95,71,327.12,Funkcni
2025-05-02,20:05:42,4,100,71,388.16,Funkcni
2025-05-02,20:05:43,4,100,71,378.27,Funkcni
2025-05-02,20:05:44,4,92,71,274.0,Funkcni
2025-05-02,20:05:44,4,98,71,331.72,Funkcni
2025-05-02,20:05:45,4,100,71,334.01,Funkcni
2025-05-02,20:05:45,4,100,71,377.14,Funkcni
2025-05-02,20:05:46,4,91,71,301.32,Funkcni
2025-05-02,20:05:47,4,100,71,384.38,Funkcni
2025-05-02,20:05:47,4,92,71,285.36,Funkcni
2025-05-02,20:05:48,4,96,71,289.61,Funkcni
2025-05-02,20:05:49,4,100,71,387.86,Funkcni
2025-05-02,20:05:49,4,100,71,330.9,Funkcni
2025-05-02,20:05:50,4,90,71,330.21,Funkcni
2025-05-02,20:05:50,4,96,71,284.28,Funkcni
2025-05-02,20:05:51,4,100,71,405.9,Vypadek
2025-05-02,20:05:51,4,100,71,401.7,Vypadek
2025-05-02,20:05:52,4,93,71,301.0,Funkcni
2025-05-02,20:05:53,4,86,71,289.41,Funkcni
2025-05-02,20:05:54,4,86,71,262.16,Funkcni
2025-05-02,20:05:54,4,98,71,314.63,Funkcni
2025-05-02,20:05:55,4,85,71,274.45,Funkcni
2025-05-02,20:05:55,4,91,71,299.0,Funkcni
2025-05-02,20:05:56,4,92,71,354.2,Funkcni
2025-05-02,20:05:56,4,82,71,259.17,Funkcni
2025-05-02,20:05:57,4,84,71,271.43,Funkcni
2025-05-02,20:05:58,4,88,71,318.55,Funkcni
2025-05-02,20:05:59,4,97,71,333.26,Funkcni
2025-05-02,20:05:59,4,73,71,218.79,Funkcni
2025-05-02,20:06:00,4,95,71,353.13,Funkcni
2025-05-02,20:06:00,4,100,71,377.22,Funkcni
2025-05-02,20:06:01,4,91,71,316.3,Funkcni
2025-05-02,20:06:02,4,90,71,252.0,Funkcni
2025-05-02,20:06:03,4,93,71,332.45,Funkcni
2025-05-02,20:06:03,4,82,71,271.36,Funkcni
2025-05-02,20:06:04,4,93,71,359.67,Funkcni
2025-05-02,20:06:04,4,86,71,253.28,Funkcni
2025-05-02,20:06:05,4,74,71,217.84,Funkcni
2025-05-02,20:06:05,4,90,71,348.43,Funkcni
2025-05-02,20:06:06,4,86,71,245.84,Funkcni
2025-05-02,20:06:07,4,100,71,386.35,Funkcni
2025-05-02,20:06:08,4,100,70,394.36,Funkcni
2025-05-02,20:06:08,4,100,70,414.22,Funkcni
2025-05-02,20:06:09,4,92,70,308.51,Funkcni
2025-05-02,20:06:09,4,95,70,357.75,Funkcni
2025-05-02,20:06:10,4,88,70,284.98,Funkcni
2025-05-02,20:06:11,4,91,70,300.27,Funkcni
2025-05-02,20:06:11,4,93,70,288.61,Funkcni
2025-05-02,20:06:12,4,91,70,298.86,Funkcni
2025-05-02,20:06:13,4,84,70,291.4,Funkcni
2025-05-02,20:06:13,4,80,70,278.15,Funkcni
2025-05-02,20:06:14,4,78,70,260.19,Funkcni
2025-05-02,20:06:14,4,100,70,399.08,Funkcni
2025-05-02,20:06:15,4,68,70,203.38,Funkcni
2025-05-02,20:06:16,4,79,70,249.25,Funkcni
2025-05-02,20:06:16,4,88,71,321.39,Funkcni
2025-05-02,20:06:17,4,98,72,319.15,Funkcni
2025-05-02,20:06:18,4,86,72,269.52,Funkcni
2025-05-02,20:06:18,4,93,72,266.73,Funkcni
2025-05-02,20:06:19,4,92,72,347.88,Funkcni
2025-05-02,20:06:20,4,62,72,202.66,Funkcni
2025-05-02,20:06:20,4,61,72,165.19,Funkcni
